company_id,return_on_equity_pct,metric,net_profit_margin_pct,debt_to_equity,asset_turnover,pe_ratio,pb_ratio,dividend_yield_pct,free_cash_flow_cr
ADANIPOWER,48.28,return_on_equity_pct,,,,,,,
BEL,4744.05,return_on_equity_pct,,,,,,,
BRITANNIA,54.15,return_on_equity_pct,,,,,,,
COALINDIA,45.17,return_on_equity_pct,,,,,,,
HAL,3816.58,return_on_equity_pct,,,,,,,
LICI,49.45,return_on_equity_pct,,,,,,,
LT,77.67,return_on_equity_pct,,,,,,,
NESTLEIND,117.75,return_on_equity_pct,,,,,,,
PNB,61.32,return_on_equity_pct,,,,,,,
TCS,50.94,return_on_equity_pct,,,,,,,
INDIGO,892.57,return_on_equity_pct,,,,,,,
ADANIPOWER,,net_profit_margin_pct,41.37,,,,,,
BAJAJHLDNG,,net_profit_margin_pct,432.73,,,,,,
DLF,,net_profit_margin_pct,42.38,,,,,,
JIOFIN,,net_profit_margin_pct,86.52,,,,,,
NHPC,,net_profit_margin_pct,41.82,,,,,,
ADANIGREEN,,debt_to_equity,,6.6,,,,,
AXISBANK,,debt_to_equity,,8.25,,,,,
BAJAJFINSV,,debt_to_equity,,4.79,,,,,
BANKBARODA,,debt_to_equity,,12.14,,,,,
CANBK,,debt_to_equity,,14.87,,,,,
CHOLAFIN,,debt_to_equity,,6.86,,,,,
HDFCBANK,,debt_to_equity,,6.81,,,,,
ICICIBANK,,debt_to_equity,,6.45,,,,,
INDUSINDBK,,debt_to_equity,,6.89,,,,,
IRFC,,debt_to_equity,,8.38,,,,,
PFC,,debt_to_equity,,8.52,,,,,
RECLTD,,debt_to_equity,,6.42,,,,,
UNIONBANK,,debt_to_equity,,12.82,,,,,
BEL,,asset_turnover,,,125.89,,,,
HAL,,asset_turnover,,,67.51,,,,
LT,,asset_turnover,,,8.03,,,,
INDIGO,,asset_turnover,,,56.39,,,,
BAJAJFINSV,,free_cash_flow_cr,,,,,,,-79634.0
BAJFINANCE,,free_cash_flow_cr,,,,,,,-79931.0
BHARTIARTL,,free_cash_flow_cr,,,,,,,27809.0
BPCL,,free_cash_flow_cr,,,,,,,25415.0
CHOLAFIN,,free_cash_flow_cr,,,,,,,-38538.0
GRASIM,,free_cash_flow_cr,,,,,,,-33833.0
HDFCBANK,,free_cash_flow_cr,,,,,,,35669.0
INDUSINDBK,,free_cash_flow_cr,,,,,,,-17468.0
IOC,,free_cash_flow_cr,,,,,,,39635.0
ONGC,,free_cash_flow_cr,,,,,,,42060.0
PFC,,free_cash_flow_cr,,,,,,,-101229.0
PNB,,free_cash_flow_cr,,,,,,,-29445.0
RECLTD,,free_cash_flow_cr,,,,,,,-59554.0
RELIANCE,,free_cash_flow_cr,,,,,,,45207.0
SHRIRAMFIN,,free_cash_flow_cr,,,,,,,-31359.0
TATAMOTORS,,free_cash_flow_cr,,,,,,,45133.0
TCS,,free_cash_flow_cr,,,,,,,50429.0
